trace_name,earthquake_id,magnitude,Pv,PGV,station_name,year,ln(Pv),ln(PGV),epicentral_distance,event_depth,PGV_Pv_ratio
2016p860565_KHZ,2016p860565,3.84612452,2.458608e-05,0.011828792,KHZ,2016,-10.613329938671574,-4.437218938529578,48.90094593816989,7.045051098,481.11744531865185
2016p862338_WEL,2016p862338,3.112788313,1.986397e-05,0.006231309,WEL,2016,-10.826603914031358,-5.078169518376021,85.03567177162165,10.28371429,313.6990742535354
2016p865816_KHZ,2016p865816,3.809048589,7.472503e-06,0.0040581566,KHZ,2016,-11.804281830864111,-5.5070269129802,63.43464665261925,5.0,543.0786177001199
2017p237835_FWVZ,2017p237835,4.487705646,1.1283552e-06,0.000404471,FWVZ,2017,-13.694750534829069,-7.812930721868779,36.978980241146516,6.40625,358.4607045724609
2017p237835_NTVZ,2017p237835,4.487705646,1.2546896e-05,0.0040949523,NTVZ,2017,-11.286037906728502,-5.498000549157155,18.20403454700861,6.40625,326.3717416642331
2017p237835_TMVZ,2017p237835,4.487705646,9.135402e-06,0.0033742033,TMVZ,2017,-11.603354394701638,-5.6915966078303795,20.314103360846257,6.40625,369.3546600357598
2017p237835_WTVZ,2017p237835,4.487705646,1.0661493e-05,0.0033077765,WTVZ,2017,-11.448872783450202,-5.711479430108383,21.228161240131037,6.40625,310.25453001751254
2017p266099_MSWZ,2017p266099,4.756361467,7.5647936e-06,0.0042384816,MSWZ,2017,-11.792006658945398,-5.463550652546832,22.61287751798964,14.250075339999999,560.2904486382814
