EarthquakeKey,EarthquakeID,Year_Index,Month_Index,StationName,SiteClass,log_Pa,log_Pv,log_Pd,log_PGV
2016p982499MOLS,2016p982499,4,12,MOLS,C,-7.120576,-11.036691,-14.283915,-8.393141
2022p459286MKVS,2022p459286,10,6,MKVS,C,-7.28301,-11.000102,-15.902984,-9.683549
2022p459286POKS,2022p459286,10,6,POKS,C,-5.716512,-9.989045,-14.918131,-9.315701
2020p640226HAZ,2020p640226,8,8,HAZ,C,-7.52936,-11.940636,-15.641861,-9.936011
2020p463068HAZ,2020p463068,8,6,HAZ,C,-7.03889,-11.018229,-14.859635,-9.144478
2020p035322HAZ,2020p035322,8,1,HAZ,C,-7.118825,-11.10746,-14.409718,-10.09223
2019p064847HAZ,2019p064847,7,1,HAZ,C,-9.092931,-12.693833,-15.641861,-11.698051
2014p005349MKVS,2014p005349,2,1,MKVS,C,-4.296417,-8.749132,-13.211195,-8.04127
2013p332491HAZ,2013p332491,1,5,HAZ,C,-7.552556,-11.67075,-15.434999,-9.936011
2019p789865WAZ,2019p789865,7,10,WAZ,C,-6.460732,-10.671358,-14.217482,-9.169842
2020p309494MOSS,2020p309494,8,4,MOSS,C,-6.683559,-11.390708,-15.564211,-10.006628
2013p624051KHZ,2013p624051,1,8,KHZ,C,-6.891846,-10.371892,-13.729333,-9.90149
2017p223725MOSS,2017p223725,5,3,MOSS,C,-6.006397,-10.483306,-13.907626,-9.969627
2020p514264MOSS,2020p514264,8,7,MOSS,C,-7.227707,-11.835889,-15.871236,-10.306955
2014p644429HAZ,2014p644429,2,8,HAZ,C,-6.065082,-9.218373,-12.082087,-9.248042
2022p213088HAZ,2022p213088,10,3,HAZ,C,-6.970556,-10.925139,-14.6974,-9.544415
2022p102266POLS,2022p102266,10,2,POLS,C,-5.190502,-9.899496,-13.73855,-7.74269
2022p102266POKS,2022p102266,10,2,POKS,C,-4.264729,-9.133305,-13.815511,-7.206729
2021p282827MOSS,2021p282827,9,4,MOSS,C,-8.942292,-12.923513,-17.185209,-11.823535
